Solution 1:
Total Switches: 835
Boundary Edges (580):
  retr_rate:632 -> retr_rate:634, Weight: 1, Domains: 0 -> 1
  getproxy:1317 -> getproxy:1322, Weight: 2, Domains: 1 -> 0
  resp_header_locate:675 -> resp_header_locate:677, Weight: 18, Domains: 0 -> 1
  gethttp:3574 -> ensure_extension:4869, Weight: 0, Domains: 1 -> 0
  fd_transport_context:858 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  collect_tags_mapper:776 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  sepstring:279 -> strdupdelim:242, Weight: 1, Domains: 0 -> 1
  url_string:2155 -> url_string:2156, Weight: 4, Domains: 0 -> 1
  nonexisting_url:62 -> make_string_hash_table:665, Weight: 0, Domains: 0 -> 1
  cache_store:624 -> hash_table_put:425, Weight: 1, Domains: 0 -> 1
  ftp_index:1106 -> number_to_static_string:1799, Weight: 0, Domains: 0 -> 1
  http_loop:3845 -> get_file_flags:1588, Weight: 0, Domains: 1 -> 0
  http_loop:3845 -> file_exists_p:596, Weight: 2, Domains: 1 -> 0
  gethttp:2953 -> gethttp:2954, Weight: 2, Domains: 0 -> 1
  ftp_loop_internal:1842 -> number_to_static_string:1799, Weight: 0, Domains: 0 -> 1
  ftp_loop_internal:1842 -> datetime_str:453, Weight: 0, Domains: 0 -> 1
  ftp_loop_internal:1842 -> sleep_between_retrievals:1186, Weight: 0, Domains: 0 -> 1
  fmttime:432 -> fmttime:434, Weight: 4, Domains: 1 -> 0
  cookie_handle_set_cookie:748 -> strdupdelim:242, Weight: 0, Domains: 0 -> 1
  string_set_contains:1386 -> hash_table_contains:372, Weight: 0, Domains: 0 -> 1
  find_chains_of_host:824 -> find_chains_of_host:827, Weight: 2, Domains: 1 -> 0
  main:2029 -> print_broken_links:70, Weight: 0, Domains: 1 -> 0
  find_chains_of_host:821 -> find_chains_of_host:824, Weight: 2, Domains: 0 -> 1
  find_chains_of_host:820 -> find_chains_of_host:821, Weight: 2, Domains: 1 -> 0
  find_cell:321 -> file_size:620, Weight: 0, Domains: 1 -> 0
  file_exists_p:596 -> file_exists_p:597, Weight: 11, Domains: 0 -> 1
  fd_read_hunk:506 -> fd_read:916, Weight: 4, Domains: 1 -> 0
  fd_read_hunk:506 -> fd_peek:941, Weight: 4, Domains: 1 -> 0
  fd_read_hunk:506 -> line_terminator:597, Weight: 0, Domains: 1 -> 0
  url_file_name:1736 -> append_uri_pathel:1453, Weight: 2, Domains: 1 -> 0
  url_parse:711 -> url_parse:712, Weight: 4, Domains: 0 -> 1
  setval_internal_tilde:876 -> home_dir:495, Weight: 0, Domains: 0 -> 1
  fd_peek:945 -> sock_peek:792, Weight: 4, Domains: 1 -> 0
  fd_peek:945 -> wgnutls_peek:368, Weight: 0, Domains: 1 -> 0
  fd_errstr:998 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  fd_close:1031 -> hash_table_remove:454, Weight: 0, Domains: 1 -> 0
  retrieve_url:976 -> register_css:991, Weight: 0, Domains: 1 -> 0
  retrieve_url:976 -> register_html:981, Weight: 0, Domains: 1 -> 0
  retrieve_url:976 -> register_redirection:948, Weight: 0, Domains: 1 -> 0
  retrieve_url:976 -> register_download:868, Weight: 1, Domains: 1 -> 0
  downloaded_file:1078 -> downloaded_file:1080, Weight: 1, Domains: 0 -> 1
  escnonprint_internal:801 -> escnonprint_internal:806, Weight: 1, Domains: 1 -> 0
  downloaded_mode_to_ptr:1046 -> downloaded_mode_to_ptr:1057, Weight: 1, Domains: 1 -> 0
