Solution 1:
Total Switches: 146
Boundary Edges (200):
  willoption:298 -> send_dont:240, Weight: 0, Domains: 1 -> 0
  willoption:298 -> send_do:224, Weight: 0, Domains: 1 -> 0
  telsnd:2152 -> telsnd:2153, Weight: 0, Domains: 0 -> 1
  doflush:2663 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  status:2393 -> control:243, Weight: 1, Domains: 1 -> 0
  TerminalSpeeds:878 -> TerminalSpeeds:879, Weight: 1, Domains: 0 -> 1
  doflush:2666 -> ttyflush:140, Weight: 0, Domains: 0 -> 1
  deadpeer:946 -> setcommandmode:275, Weight: 0, Domains: 0 -> 1
  dosynch:2705 -> printoption:209, Weight: 0, Domains: 0 -> 1
  command:2957 -> command:3017, Weight: 1, Domains: 1 -> 0
  command:2957 -> slccmd:1722, Weight: 0, Domains: 1 -> 0
  command:2957 -> getcmd:2933, Weight: 1, Domains: 1 -> 0
  command:2957 -> makeargv:143, Weight: 1, Domains: 1 -> 0
  command:2943 -> command:2945, Weight: 1, Domains: 0 -> 1
  doflush:2662 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  env_opt_add:1729 -> opt_welldefined:1774, Weight: 1, Domains: 0 -> 1
  env_opt_start_info:1687 -> env_opt_start:1666, Weight: 0, Domains: 0 -> 1
  modecmd:1383 -> ttyflush:140, Weight: 0, Domains: 0 -> 1
  getcmd:2933 -> getcmd:2935, Weight: 1, Domains: 0 -> 1
  status:2394 -> status:2428, Weight: 1, Domains: 1 -> 0
  dosynch:2704 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  Scheduler:2412 -> telrcv:1814, Weight: 5, Domains: 1 -> 0
  call:2925 -> call:2926, Weight: 2, Domains: 0 -> 1
  Scheduler:2388 -> telsnd:2151, Weight: 0, Domains: 1 -> 0
  slc_check:1495 -> setconnmode:243, Weight: 0, Domains: 0 -> 1
  TerminalSpeeds:881 -> TerminalSpeeds:883, Weight: 1, Domains: 1 -> 0
  call:2926 -> slccmd:1722, Weight: 0, Domains: 1 -> 0
  wontoption:389 -> setconnmode:243, Weight: 0, Domains: 0 -> 1
  TerminalSpecialChars:190 -> TerminalSpecialChars:237, Weight: 6, Domains: 1 -> 0
  TerminalSpecialChars:190 -> sendabort:2774, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> sendbrk:2758, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> intp:2742, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> xmitEL:2686, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> sendeof:2806, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> xmitAO:2674, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> xmitEC:2693, Weight: 0, Domains: 1 -> 0
  TerminalSpecialChars:190 -> sendsusp:2790, Weight: 0, Domains: 1 -> 0
  call:2917 -> call:2918, Weight: 2, Domains: 0 -> 1
  main:372 -> Exit:1058, Weight: 0, Domains: 0 -> 1
  TerminalSpeeds:873 -> TerminalSpeeds:874, Weight: 1, Domains: 1 -> 0
  sendbrk:2759 -> printoption:209, Weight: 0, Domains: 0 -> 1
  main:345 -> tninit:93, Weight: 1, Domains: 0 -> 1
  telrcv:1817 -> telrcv:1818, Weight: 6, Domains: 0 -> 1
